Weapon Hash,Weapon Name,Weapon Name With Season,Weapon Type,Weapon Slot,Weapon Tier,Weapon Element,Weapon Current Version,Weapon Power Cap,Is Sunset,Weapon Season,Weapon Archetype,Weapon Slot 1 Type,Weapon Slot 2 Type,Weapon Slot 3 Type,Weapon Slot 4 Type,Accuracy,Aim Assistance,Airborne Effectiveness,Ammo Capacity,Blast Radius,Charge Rate,Charge Time,Draw Time,Guard Efficiency,Guard Endurance,Guard Resistance,Handling,Impact,Inventory Size,Magazine,Weapon Range,Recoil Direction,Reload Speed,Rounds Per Minute,Shield Duration,Stability,Swing Speed,Velocity,Zoom,Slot 1 Perk 0,Slot 1 Perk 1,Slot 1 Perk 2,Slot 1 Perk 3,Slot 1 Perk 4,Slot 1 Perk 5,Slot 1 Perk 6,Slot 1 Perk 7,Slot 1 Perk 8,Slot 1 Perk 9,Slot 1 Perk 10,Slot 1 Perk 11,Slot 1 Perk 12,Slot 2 Perk 0,Slot 2 Perk 1,Slot 2 Perk 2,Slot 2 Perk 3,Slot 2 Perk 4,Slot 2 Perk 5,Slot 2 Perk 6,Slot 2 Perk 7,Slot 2 Perk 8,Slot 2 Perk 9,Slot 2 Perk 10,Slot 2 Perk 11,Slot 2 Perk 12,Slot 3 Perk 0,Slot 3 Perk 1,Slot 3 Perk 2,Slot 3 Perk 3,Slot 3 Perk 4,Slot 3 Perk 5,Slot 3 Perk 6,Slot 3 Perk 7,Slot 3 Perk 8,Slot 3 Perk 9,Slot 3 Perk 10,Slot 3 Perk 11,Slot 3 Perk 12,Slot 4 Perk 0,Slot 4 Perk 1,Slot 4 Perk 2,Slot 4 Perk 3,Slot 4 Perk 4,Slot 4 Perk 5,Slot 4 Perk 6,Slot 4 Perk 7,Slot 4 Perk 8,Slot 4 Perk 9,Slot 4 Perk 10,Slot 4 Perk 11,Slot 4 Perk 12
2186258845,Bellowing Giant,Bellowing Giant (S05),Rocket Launcher,Power,Legendary,Void,0,1060,Yes,5,Adaptive Frame,Tubes,Magazines,Frames,Frames,,63.0,3.0,,50.0,,,,,,,44.0,,48.0,1.0,,70.0,45.0,20.0,,49.0,,59.0,20.0,Volatile Launch,Confined Launch,Countermass,Hard Launch,Linear Compensator,Quick Launch,Smart Drift Control,,,,,,,Alloy Casing,Black Powder,High-Velocity Rounds,Implosion Rounds,Impact Casing,,,,,,,,,Tracking Module,Quickdraw,Genesis,Field Prep,Rangefinder,,,,,,,,,Cluster Bomb,Ambitious Assassin,Auto-Loading Holster,Moving Target,Threat Detector,,,,,,,,
2187717691,Circular Logic,Circular Logic (S20),Machine Gun,Power,Legendary,Strand,0,999999,No,20,Adaptive Frame,Barrels,Magazines,Frames,Frames,,59.0,11.0,,,,,,,,,58.0,41.0,51.0,53.0,40.0,80.0,50.0,450.0,,33.0,,,16.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Extended Mag,Alloy Magazine,Appended Mag,Armor-Piercing Rounds,High-Caliber Rounds,Ricochet Rounds,Flared Magwell,Light Mag,,,,,,Keep Away,Envious Assassin,Shot Swap,Pulse Monitor,Offhand Strike,Feeding Frenzy,,,,,,,,Hatchling,Golden Tricorn,Vorpal Weapon,Eye of the Storm,Target Lock,Demolitionist,,,,,,,
2188764214,Dead Man's Tale,Dead Man's Tale (S22),Scout Rifle,Kinetic,Exotic,Kinetic,0,999999,No,22,Cranial Spike,Barrels,Magazines,Frames,Stocks,,60.0,17.0,,,,,,,,,50.0,100.0,55.0,14.0,60.0,89.0,50.0,120.0,,30.0,,,18.0,Corkscrew Rifling,Arrowhead Brake,Polygonal Rifling,Chambered Compensator,Smallbore,Full Bore,Extended Barrel,Fluted Barrel,Hammer-Forged Rifling,,,,,Accurized Rounds,Steady Rounds,Flared Magwell,Armor-Piercing Rounds,High-Caliber Rounds,Ricochet Rounds,Light Mag,,,,,,,Outlaw,Fourth Time's the Charm,Compulsive Reloader,Killing Wind,Moving Target,Vorpal Weapon,Rapid Hit,Shoot to Loot,,,,,,Hand-Laid Stock,Short-Action Stock,Composite Stock,Fitted Stock,,,,,,,,,
2194955522,Fixed Odds,Fixed Odds (S17),Machine Gun,Power,Legendary,Solar,0,999999,No,17,High-Impact Frame,Barrels,Magazines,Frames,Frames,,33.0,16.0,,,,,,,,,30.0,70.0,37.0,44.0,63.0,66.0,31.0,360.0,,28.0,,,16.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,,Quickdraw,No Distractions,Encore,Field Prep,Feeding Frenzy,Under Pressure,,,,,,,,Incandescent,Focused Fury,Firing Line,Rangefinder,Rampage,Killing Tally,,,,,,,
2199171672,Lonesome,Lonesome (S06),Sidearm,Kinetic,Legendary,Kinetic,1,999999,No,6,Precision Frame,Barrels,Magazines,Frames,Frames,,86.0,12.0,,,,,,,,,33.0,51.0,39.0,12.0,58.0,90.0,21.0,260.0,,42.0,,,12.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Extended Mag,Alloy Magazine,Appended Mag,Armor-Piercing Rounds,High-Caliber Rounds,Ricochet Rounds,Flared Magwell,Light Mag,,,,,,Outlaw,Full Auto Trigger System,Rapid Hit,Grave Robber,Zen Moment,,,,,,,,,Swashbuckler,Demolitionist,Kill Clip,Slideshot,Opening Shot,Multikill Clip,,,,,,,
2208405142,Telesto,Telesto (S02),Fusion Rifle,Energy,Exotic,Void,0,999999,No,2,Unplanned Reprieve,Batteries,Frames,Grips,,,46.0,9.0,,,,820.0,,,,,52.0,85.0,55.0,4.0,25.0,66.0,80.0,,,79.0,,,20.0,Projection Fuse,,,,,,,,,,,,,Harbinger's Pulse,,,,,,,,,,,,,Polymer Grip,,,,,,,,,,,,,,,,,,,,,,,,,
2209003210,Zealot's Reward,Zealot's Reward (S08),Fusion Rifle,Energy,Legendary,Void,1,999999,No,8,Rapid-Fire Frame,Barrels,Batteries,Frames,Frames,,37.0,4.0,,,,500.0,,,,,56.0,55.0,52.0,7.0,22.0,49.0,48.0,,,28.0,,,15.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accelerated Coils,Enhanced Battery,Ionized Battery,Liquid Coils,Particle Repeater,Projection Fuse,,,,,,,,Feeding Frenzy,Under Pressure,Shield Disorient,Auto-Loading Holster,,,,,,,,,,Rampage,High-Impact Reserves,Disruption Break,Backup Plan,,,,,,,,,
2209451511,Pariah,Pariah (S01),Auto Rifle,Kinetic,Basic,Kinetic,0,999999,No,1,Precision Frame,Scopes,,,,,26.0,,,,,,,,,,35.0,29.0,46.0,31.0,50.0,64.0,36.0,450.0,,35.0,,,16.0,Model 6 Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213848860,Psi Termina II,Psi Termina II (S01),Pulse Rifle,Kinetic,Common,Kinetic,0,999999,No,1,Adaptive Frame,Scopes,Magazines,,,,55.0,,,,,,,,,,34.0,29.0,46.0,34.0,33.0,66.0,35.0,390.0,,43.0,,,17.0,Red Dot-OAS,Red Dot-ORS,,,,,,,,,,,,Accurized Rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213848861,Cadenza-11,Cadenza-11 (S01),Pulse Rifle,Energy,Common,Solar,0,999999,No,1,Adaptive Frame,Scopes,Magazines,,,,55.0,,,,,,,,,,36.0,29.0,45.0,33.0,34.0,62.0,36.0,390.0,,43.0,,,17.0,SLO-12 Post,SPO-57 Front,,,,,,,,,,,,High-Caliber Rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213848862,Standing Tall,Standing Tall (S01),Pulse Rifle,Kinetic,Common,Kinetic,0,999999,No,1,High-Impact Frame,Scopes,Magazines,,,,24.0,,,,,,,,,,20.0,33.0,46.0,26.0,53.0,62.0,26.0,340.0,,40.0,,,18.0,Model 8 Red,Mark 10 Glass,,,,,,,,,,,,Appended Mag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213848863,Psi Ferox II,Psi Ferox II (S01),Pulse Rifle,Kinetic,Common,Kinetic,0,999999,No,1,Lightweight Frame,Scopes,Magazines,,,,64.0,,,,,,,,,,60.0,27.0,43.0,27.0,23.0,42.0,52.0,450.0,,39.0,,,17.0,Fastdraw IS,Red Dot-OAS,,,,,,,,,,,,Tactical Mag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217366863,Parcel of Stardust,Parcel of Stardust (S04),Shotgun,Kinetic,Legendary,Kinetic,0,1060,Yes,4,Lightweight Frame,Barrels,Magazines,Frames,Frames,,52.0,2.0,,,,,,,,,68.0,65.0,26.0,6.0,46.0,53.0,56.0,80.0,,39.0,,,12.0,Rifled Barrel,Smoothbore,Smallbore,Barrel Shroud,Corkscrew Rifling,Full Choke,,,,,,,,Assault Mag,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Accurized Rounds,Light Mag,,,,,,,Slideshot,Threat Detector,Opening Shot,Full Auto Trigger System,Snapshot Sights,,,,,,,,,Rampage,Outlaw,Moving Target,Auto-Loading Holster,Pulse Monitor,,,,,,,,
2218569744,Tarnished Mettle,Tarnished Mettle (S18),Scout Rifle,Energy,Legendary,Arc,0,999999,No,18,Lightweight Frame,Barrels,Magazines,Frames,Frames,,73.0,18.0,,,,,,,,,66.0,60.0,49.0,16.0,30.0,52.0,53.0,200.0,,33.0,,,20.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,,Moving Target,Shoot to Loot,Fourth Time's the Charm,Killing Wind,Steady Hands,Demolitionist,Rapid Hit,,,,,,,Dragonfly,Explosive Payload,Voltshot,Eye of the Storm,Focused Fury,Swashbuckler,Multikill Clip,,,,,,
2220884262,The Steady Hand,The Steady Hand (S12),Hand Cannon,Kinetic,Legendary,Kinetic,0,999999,No,12,Aggressive Frame,Scopes,Magazines,Frames,Frames,,65.0,10.0,,,,,,,,,20.0,92.0,40.0,8.0,60.0,85.0,20.0,120.0,,25.0,,,14.0,Fastdraw HCS,SteadyHand HCS,TrueSight HCS,HitMark HCS,Crossfire HCS,Sureshot HCS,,,,,,,,Extended Mag,Alloy Magazine,Appended Mag,Armor-Piercing Rounds,High-Caliber Rounds,Ricochet Rounds,Flared Magwell,Light Mag,,,,,,Killing Wind,Zen Moment,Outlaw,Quickdraw,Slideshot,Moving Target,,,,,,,,Iron Grip,Iron Gaze,Swashbuckler,Wellspring,Mulligan,Snapshot Sights,,,,,,,
2221264583,Smite of Merain,Smite of Merain (S18),Pulse Rifle,Kinetic,Legendary,Kinetic,0,999999,No,18,Adaptive Frame,Barrels,Magazines,Frames,Frames,,60.0,21.0,,,,,,,,,47.0,29.0,49.0,38.0,43.0,70.0,47.0,390.0,,50.0,,,17.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,,Ensemble,Moving Target,Pugilist,Demolitionist,Well-Rounded,Focused Fury,Stats for All,,,,,,,Eye of the Storm,Gutshot Straight,Swashbuckler,Adrenaline Junkie,Firefly,Vorpal Weapon,One for All,,,,,,
2222560548,IKELOS_SMG_v1.0.2,IKELOS_SMG_v1.0.2 (S11),Submachine Gun,Energy,Legendary,Arc,0,999999,No,11,Aggressive Frame,Barrels,Magazines,Frames,Frames,,37.0,12.0,,,,,,,,,62.0,22.0,45.0,28.0,44.0,90.0,24.0,720.0,,25.0,,,14.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Seraph Rounds,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,Threat Detector,Subsistence,Grave Robber,Pulse Monitor,Dynamic Sway Reduction,,,,,,,,,Tap the Trigger,Disruption Break,Surrounded,Vorpal Weapon,Demolitionist,,,,,,,,
2231910050,Roar of the Bear,Roar of the Bear (S20),Rocket Launcher,Power,Legendary,Solar,0,999999,No,20,High-Impact Frame,Tubes,Magazines,Frames,Frames,,71.0,7.0,,90.0,,,,,,,65.0,,38.0,1.0,,45.0,34.0,15.0,,57.0,,37.0,20.0,Volatile Launch,Confined Launch,Countermass,Hard Launch,Linear Compensator,Quick Launch,Smart Drift Control,,,,,,,Alloy Casing,Black Powder,High-Velocity Rounds,Implosion Rounds,Impact Casing,,,,,,,,,Ambitious Assassin,Snapshot Sights,Field Prep,Demolitionist,Tracking Module,Impulse Amplifier,,,,,,,,Vorpal Weapon,Auto-Loading Holster,Cluster Bomb,Lasting Impression,Chain Reaction,Incandescent,,,,,,,
2232171099,Deathbringer,Deathbringer (S08),Rocket Launcher,Power,Exotic,Void,0,999999,No,8,Dark Deliverance,Tubes,Magazines,Frames,Stocks,,72.0,3.0,,90.0,,,,,,,66.0,,36.0,1.0,,58.0,33.0,15.0,,58.0,,40.0,20.0,Volatile Launch,,,,,,,,,,,,,Alloy Casing,,,,,,,,,,,,,Dark Descent,,,,,,,,,,,,,Composite Stock,,,,,,,,,,,,
2233545123,Fugue-55,Fugue-55 (S16),Sniper Rifle,Energy,Legendary,Void,0,999999,No,16,Adaptive Frame,Barrels,Magazines,Frames,Frames,,66.0,3.0,,,,,,,,,47.0,70.0,45.0,4.0,54.0,74.0,45.0,90.0,,49.0,,,50.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,,No Distractions,Auto-Loading Holster,Steady Hands,Compulsive Reloader,Fourth Time's the Charm,Lead from Gold,,,,,,,,Focused Fury,Vorpal Weapon,Firing Line,Snapshot Sights,Moving Target,Box Breathing,,,,,,,
2248667690,Perfect Paradox,Perfect Paradox (S02),Shotgun,Kinetic,Legendary,Kinetic,0,1060,Yes,2,Rapid-Fire Frame,Barrels,Magazines,Frames,,,70.0,2.0,,,,,,,,,43.0,65.0,54.0,7.0,32.0,61.0,64.0,140.0,,36.0,,,12.0,Full Choke,Rifled Barrel,Smoothbore,,,,,,,,,,,Flared Magwell,Steady Rounds,Accurized Rounds,,,,,,,,,,,Rampage,,,,,,,,,,,,,,,,,,,,,,,,,
2257180473,Interference VI,Interference VI (S10),Grenade Launcher,Power,Legendary,Arc,0,999999,No,10,Adaptive Frame,Tubes,Magazines,Frames,Frames,,61.0,6.0,,50.0,,,,,,,40.0,,36.0,6.0,,66.0,40.0,120.0,,38.0,,29.0,13.0,Volatile Launch,Confined Launch,Countermass,Hard Launch,Linear Compensator,Quick Launch,Smart Drift Control,,,,,,,Thermoplastic Grenades,Proximity Grenades,Spike Grenades,Alloy Casing,Augmented Drum,High-Explosive Ordnance,High-Velocity Rounds,Mini Frags,,,,,,Field Prep,Auto-Loading Holster,Clown Cartridge,Grave Robber,,,,,,,,,,Full Court,Demolitionist,Swashbuckler,Threat Detector,,,,,,,,,
2261046232,Jurassic Green,Jurassic Green (S15),Pulse Rifle,Energy,Legendary,Solar,0,999999,No,15,Rapid-Fire Frame,Barrels,Magazines,Frames,Frames,,76.0,15.0,,,,,,,,,19.0,23.0,47.0,35.0,27.0,50.0,27.0,540.0,,41.0,,,17.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Extended Mag,Alloy Magazine,Appended Mag,Armor-Piercing Rounds,High-Caliber Rounds,Ricochet Rounds,Flared Magwell,Light Mag,,,,,,Tunnel Vision,Subsistence,Heating Up,Killing Wind,Threat Detector,Rangefinder,,,,,,,,Wellspring,Frenzy,Adrenaline Junkie,Unrelenting,Multikill Clip,Dragonfly,,,,,,,
2263839058,The Epicurean,The Epicurean (S17),Fusion Rifle,Energy,Legendary,Void,0,999999,No,17,Precision Frame,Barrels,Batteries,Frames,Frames,,65.0,5.0,,,,780.0,,,,,30.0,80.0,39.0,6.0,59.0,80.0,26.0,,,49.0,,,15.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accelerated Coils,Enhanced Battery,Ionized Battery,Liquid Coils,Particle Repeater,Projection Fuse,,,,,,,,Ensemble,Feeding Frenzy,Well-Rounded,Snapshot Sights,Quickdraw,Surplus,,,,,,,,Cornered,Moving Target,Rangefinder,Backup Plan,Swashbuckler,Repulsor Brace,,,,,,,
2272041093,Fire and Forget,Fire and Forget (S19),Linear Fusion Rifle,Power,Legendary,Stasis,0,999999,No,19,Aggressive Frame,Barrels,Batteries,Frames,Frames,,60.0,7.0,,,,533.0,,,,,27.0,41.0,33.0,5.0,35.0,75.0,22.0,,,44.0,,,25.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accelerated Coils,Enhanced Battery,Ionized Battery,Liquid Coils,Particle Repeater,Projection Fuse,,,,,,,,Perfect Float,Rangefinder,Surplus,Killing Wind,Headstone,Outlaw,Field Prep,,,,,,,Frenzy,Harmony,Demolitionist,Focused Fury,High-Impact Reserves,Chill Clip,Vorpal Weapon,,,,,,
2272470786,Stochastic Variable,Stochastic Variable (S14),Submachine Gun,Energy,Legendary,Arc,0,999999,No,14,Lightweight Frame,Barrels,Magazines,Frames,Frames,,52.0,12.0,,,,,,,,,50.0,15.0,40.0,36.0,33.0,95.0,27.0,900.0,,35.0,,,14.0,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Extended Mag,Alloy Magazine,Appended Mag,Armor-Piercing Rounds,High-Caliber Rounds,Ricochet Rounds,Flared Magwell,Light Mag,Phase Magazine,,,,,Under Pressure,Zen Moment,Killing Wind,Surplus,Ambitious Assassin,Feeding Frenzy,,,,,,,,Unrelenting,Dragonfly,Multikill Clip,Wellspring,Elemental Capacitor,Quickdraw,,,,,,,
2276266837,Honor's Edge,Honor's Edge (S01),Sword,Power,Legendary,Arc,0,1060,Yes,1,Adaptive Frame,Blades,Guards,Frames,,,,,62.0,,20.0,20.0,,0.0,,0.0,,60.0,,60.0,40.0,,,,,,40.0,,0.0,Tempered Edge,Jagged Edge,,,,,,,,,,,,Burst Guard,Enduring Guard,,,,,,,,,,,,En Garde,,,,,,,,,,,,,,,,,,,,,,,,,
